Date,Adjusted Close,High,Low,Open,Volume,MA_20,MA_50,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Month,DayOfWeek
2000-03-13,2.2031867504119877,2.2534495994250574,2.157112565355701,2.161301069531294,512800,2.235648345947266,2.23102828502655,2.235648345947266,0.05596287999904766,2.347574105945361,2.1237225859491704,47.75278707103477,-0.0032280684090939538,0.0026950967449316876,-0.005923165154025641,3,0
2000-03-14,2.240884065628052,2.282769749097735,2.2073755508085457,2.21994122389321,1096000,2.235438919067383,2.22813720703125,2.235438919067383,0.055933585504753344,2.3473060900768896,2.123571748057876,51.64831109334667,-0.0019518715219408733,0.0017657030915571754,-0.0037175746134980488,3,1
2000-03-15,2.2618274688720703,2.3246560096740723,2.24088462193807,2.245073127412373,460800,2.2369049549102784,2.225747766494751,2.2369049549102784,0.05623612179497539,2.349377198500229,2.1244327113203276,52.68821350490503,0.0007409402184785918,0.0015607505169414587,-0.0008198102984628669,3,2
2000-03-16,2.3958616256713867,2.4000501309786744,2.2492617029790267,2.303713070879942,795200,2.2448632597923277,2.2243824768066407,2.2448632597923277,0.06652582145467659,2.377914902701681,2.1118116168829744,58.49059845995764,0.013534432691761467,0.003955486951905461,0.009578945739856005,3,3
2000-03-17,2.303712844848633,2.450312753157182,2.303712844848633,2.429369909113104,2052000,2.2490518450737,2.2224166202545166,2.2490518450737,0.06750410908292952,2.384060063239559,2.114043626907841,50.45043451193719,0.016052685786772436,0.006374926718878856,0.00967775906789358,3,4
2000-03-20,2.3623528480529785,2.383295691884012,2.2408842899205017,2.2492614594091584,2169200,2.2549158573150634,2.2216235637664794,2.2549158573150634,0.07207921090081859,2.3990742791167006,2.110757435513426,57.79819460197898,0.02252057452666545,0.009604056280436174,0.012916518246229275,3,0
2000-03-21,2.42518162727356,2.42518162727356,2.324655902703612,2.362353089362651,867200,2.2643401622772217,2.222584056854248,2.2643401622772217,0.08130350603482163,2.426947174346865,2.1017331502075782,66.19718648608998,0.03234334638860359,0.014151914302069657,0.018191432086533933,3,1
2000-03-22,2.450312376022339,2.450312376022339,2.3958610218447483,2.429369535201636,4014000,2.276068115234375,2.22421281337738,2.276068115234375,0.09034117406743289,2.4567504633692407,2.095385767099509,65.71429268423582,0.04167539721892899,0.019656610885441524,0.022018786333487465,3,2
2000-03-23,2.4293694496154785,2.4503122896983704,2.408426609532586,2.433557953719581,9622800,2.2865395307540894,2.2257540369033815,2.2865395307540894,0.0954841066225638,2.477507743999217,2.095571317508962,56.74158525010809,0.04684123895702497,0.025093536499758214,0.021747702457266753,3,3
2000-03-24,2.2618274688720703,2.4377474150739245,2.2618274688720703,2.408427397410075,708800,2.2873772740364076,2.227174687385559,2.2873772740364076,0.09517413994754667,2.477725553931501,2.097028994141314,44.81136900812766,0.036989575314098744,0.027472744262626324,0.00951683105147242,3,4
2000-03-27,2.274392604827881,2.299524111047809,2.261826931608519,2.282769773567857,575200,2.2863301038742065,2.2280183839797973,2.2863301038742065,0.09519717771700675,2.47672445930822,2.0959357484401933,47.11537619507368,0.02985184882891856,0.027948565175884774,0.0019032836530337854,3,0
2000-03-28,2.316277980804444,2.316277980804444,2.245072295653032,2.286957974003135,608400,2.2911469459533693,2.229948253631592,2.2911469459533693,0.09409202986913823,2.4793310056916456,2.102962886215093,55.38467780730558,0.027260704522945378,0.027810993045296894,-0.0005502885223515157,3,1
2000-03-29,2.4293694496154785,2.475443633885365,2.291146737024629,2.291146737024629,1452800,2.30580689907074,2.236210651397705,2.30580689907074,0.0914797457829106,2.4887663906365614,2.122847407504919,62.211934423546204,0.033941484079852646,0.029037091252208047,0.004904392827644599,3,2
2000-03-30,2.4461236000061035,2.4921977807803275,2.42936926529847,2.437746432652287,866800,2.3194197416305546,2.2435535907745363,2.3194197416305546,0.09106871828198725,2.501557178194529,2.1372823050665803,67.47573244764482,0.04012542895953297,0.03125475879367304,0.008870670165859934,3,3
2000-03-31,2.467067241668701,2.50057576221169,2.4419357314255365,2.467067241668701,992000,2.326330924034119,2.252971954345703,2.326330924034119,0.09688093723151259,2.520092798497144,2.132569049571094,65.98989113013558,0.04618384802684483,0.0342405766403074,0.011943271386537432,3,4
2000-04-03,2.54664945602417,2.5801579699624098,2.467066755393501,2.4880095965775504,778800,2.335964643955231,2.2629880237579347,2.335964643955231,0.10864047181449277,2.5532455875842164,2.1186837003262458,67.63286246297707,0.05675259974580937,0.038742981261407794,0.01800961848440158,4,0
2000-04-04,2.5675928592681885,2.596912875300408,2.483821476193982,2.580158534773073,3842400,2.348111510276795,2.2732573175430297,2.348111510276795,0.12026836157254331,2.5886482334218814,2.1075747871317083,67.63286246297709,0.06605690634001027,0.04420576627712829,0.021851140062881975,4,1
2000-04-05,2.555026769638061,2.6387981391343915,2.513141084889897,2.5843467809180187,520800,2.364446985721588,2.28170156955719,2.364446985721588,0.12522640638929625,2.6148997985001805,2.1139941729429954,60.67413358915933,0.07159139687676719,0.049682892397056075,0.021908504479711113,4,2
2000-04-06,2.5298964977264404,2.5927250515463225,2.513142152795295,2.513142152795295,1538800,2.380572998523712,2.2904714727401734,2.380572998523712,0.1247002217738688,2.62997344207145,2.1311725549759744,66.66678378892134,0.07310698575590013,0.05436771106882489,0.018739274687075244,4,3
2000-04-07,2.5759711265563965,2.596913981243847,2.5382739242064654,2.5382739242064654,2453200,2.402144205570221,2.2983406496047976,2.402144205570221,0.11890256318429518,2.6399493319388116,2.1643390792016306,66.03787026648519,0.07713675386409591,0.058921519627879095,0.018215234236216814,4,4
2000-04-10,2.680684328079224,2.7058156797424715,2.563404420682005,2.588535772345253,1058400,2.426019084453583,2.306399078369141,2.426019084453583,0.12465086086102446,2.6753208061756317,2.176717362731534,68.04741121764148,0.08776811812887342,0.06469083932807797,0.02307727880079545,4,0
2000-04-11,2.659741163253784,2.680684007058932,2.617855475643488,2.680684007058932,1453200,2.44696193933487,2.3132103443145753,2.44696193933487,0.12707185631222884,2.7011056519593275,2.192818226710412,64.88101732104823,0.09342664828609726,0.07043800111968182,0.022988647166415438,4,1
2000-04-12,2.701626777648926,2.7225696208865147,2.6429867526711925,2.6429867526711925,1412800,2.4689519047737125,2.325000705718994,2.4689519047737125,0.13133046160976214,2.731612827993237,2.2062909815541882,68.7862051447745,0.100136581058623,0.07637771710747006,0.02375886395115294,4,2
2000-04-13,2.697438240051269,2.785398116665049,2.689060911120837,2.705815249419277,2199600,2.4840307354927065,2.3348022747039794,2.4840307354927065,0.13955238717871862,2.7631355098501436,2.2049259611352694,88.80602721012134,0.10391836492037676,0.0818858466700514,0.02203251825032536,4,3
2000-04-14,2.6639297008514404,2.7812097554270294,2.605289833344865,2.6974383791765915,1404400,2.5020415782928467,2.3450104236602782,2.5020415782928467,0.13829484015599788,2.7786312586048423,2.225451897980851,83.45329809944191,0.10302400026141845,0.08611347738832481,0.016910522873093636,4,4
2000-04-17,2.7058145999908447,2.7225689342680406,2.5215177218475584,2.5215177218475584,1688000,2.51921466588974,2.3553108167648316,2.51921466588974,0.1413275400072248,2.80186974590419,2.2365595858752902,83.45328454748525,0.10449047004387957,0.08978887591943577,0.014701594124443801,4,0
2000-04-18,2.6178557872772217,2.7058156778172417,2.5550272483825687,2.7058156778172417,581200,2.528848373889923,2.3631065845489503,2.528848373889923,0.14114712175336253,2.811142617396648,2.246554130383198,66.91743514265255,0.09743198159379407,0.09131749705430743,0.006114484539486639,4,1
