Date,Target,Volume,MA_20,MA_50,RSI,Volatility_30D,Month,DayOfWeek
2014-12-15,0,1964300.0,29.132114028930665,28.337364768981935,56.54304556772831,0.024270598550346717,12.0,4.0
2014-12-16,1,2317500.0,29.229615116119383,28.36352870941162,56.160064053064275,0.024265624179654,12.0,0.0
2014-12-17,1,2525200.0,29.31739330291748,28.392486381530762,54.44320844361641,0.024008667727501584,12.0,1.0
2014-12-18,1,3255500.0,29.400039386749267,28.433080406188964,58.645673032059676,0.024049175837682832,12.0,2.0
2014-12-19,1,1980400.0,29.49483995437622,28.485645599365235,61.630223973134726,0.02407164760333197,12.0,3.0
2014-12-22,1,6383800.0,29.635284328460692,28.56042209625244,66.45754693749453,0.024418238403294684,12.0,4.0
2014-12-23,0,1382100.0,29.789503288269042,28.64887134552002,66.3428805017299,0.024366981388884656,12.0,0.0
2014-12-24,1,1099600.0,29.949394512176514,28.76193920135498,63.6631842698388,0.024368970698986008,12.0,1.0
2014-12-29,0,386400.0,30.093080711364745,28.86889663696289,45.76786126293218,0.02436732368268563,12.0,2.0
2014-12-30,0,1173400.0,30.27782049179077,28.968613624572754,55.726467194393166,0.024356255068031466,12.0,0.0
2014-12-31,1,690500.0,30.470392513275147,29.065754585266113,70.29939441153914,0.02422370123285639,12.0,1.0
2015-01-02,0,859300.0,30.679979515075683,29.15721580505371,68.9378115290136,0.024156667063930885,12.0,2.0
2015-01-05,0,873200.0,30.893347549438477,29.249697074890136,85.34083945440521,0.024186508284757248,1.0,4.0
2015-01-06,0,1723800.0,30.9927396774292,29.32923641204834,64.89080203397405,0.02544824833598591,1.0,0.0
2015-01-07,1,1749300.0,30.883894157409667,29.372352294921875,58.97229327367518,0.026463808574004342,1.0,1.0
2015-01-08,0,1477700.0,30.804488754272462,29.40813579559326,55.190526304517675,0.02651463270885108,1.0,2.0
2015-01-09,0,1701400.0,30.805298709869383,29.45383659362793,57.50332240810664,0.0265638440365951,1.0,3.0
2015-01-12,0,1567400.0,30.775589084625246,29.481784019470215,51.59503643079742,0.02666975531099385,1.0,4.0
2015-01-13,1,1533100.0,30.762354373931885,29.503230476379393,43.9656168231577,0.026769486296111297,1.0,0.0
2015-01-14,0,2070200.0,30.71076717376709,29.51300323486328,31.644578490799418,0.02694472181418167,1.0,1.0
2015-01-15,1,1598200.0,30.70023365020752,29.523238105773927,30.867122323999496,0.026951402750463455,1.0,2.0
2015-01-16,0,1031000.0,30.683217811584473,29.53551330566406,27.02063798251892,0.026870163037283092,1.0,3.0
2015-01-19,1,1516100.0,30.735344409942627,29.585858154296876,41.97244549426286,0.028150803839864947,1.0,4.0
2015-01-20,1,483500.0,30.755601501464845,29.6326233291626,36.802394881109905,0.027560438920872298,1.0,0.0
2015-01-21,1,1825300.0,30.786931800842286,29.69696952819824,42.45411009528753,0.020241023541529343,1.0,1.0
2015-01-22,0,1924600.0,30.849592208862305,29.785327949523925,51.153295279039,0.021423259126443377,1.0,2.0
2015-01-23,1,1737000.0,30.93710050582886,29.893864402770998,53.24554643805209,0.0204003763947943,1.0,3.0
2015-01-26,1,1098600.0,31.01596565246582,29.99984634399414,61.857273434068254,0.020377733191792587,1.0,4.0
2015-01-27,0,1097900.0,31.111846351623534,30.112958602905273,72.82362188694671,0.019673689404897027,1.0,0.0
2015-01-28,0,1039200.0,31.197193336486816,30.232877044677736,76.15861588635579,0.01967670139813874,1.0,1.0
2015-01-29,0,1671600.0,31.24931945800781,30.344692993164063,69.09333921335661,0.019694465935716433,1.0,2.0
2015-01-30,1,1905900.0,31.299015045166016,30.459425582885743,72.47871872094139,0.019708071372401673,1.0,3.0
2015-02-02,1,1814800.0,31.32764434814453,30.569404907226563,77.33034032554423,0.019717854199730708,1.0,4.0
2015-02-03,0,1099000.0,31.44810266494751,30.681328887939454,86.5186515809739,0.019799234903441282,2.0,0.0
2015-02-04,1,1402700.0,31.638784313201903,30.794657249450683,86.49249541733025,0.019713261403300073,2.0,1.0
2015-02-05,0,1204800.0,31.83486728668213,30.907337455749513,84.6899197412696,0.019327964449656114,2.0,2.0
2015-02-06,0,1324200.0,32.023118305206296,31.02250247955322,81.02680225917382,0.01928087817787667,2.0,3.0
2015-02-09,1,1554600.0,32.17841863632202,31.113143653869628,72.8407472202509,0.020110269232609217,2.0,4.0
2015-02-10,1,1131300.0,32.34479284286499,31.19146896362305,66.7543049649234,0.020176064737552374,2.0,0.0
2015-02-11,1,1546100.0,32.554110527038574,31.282434272766114,58.017388489681814,0.020080872129323253,2.0,1.0
